Ferguson Fire & Fabrication Price Book    Net Price List
Effective: 2/23/2022    METRO FIRE EQUIPMENT INC
Gemini Trilogie           Abbr     Size                  Description                              Finish     Price Listno               
---------------------------------------------------------------------------------------------------------------------------------------
SBA112,A001JG,HSBAE01,1.5 x 1,"Sway Brace Afcon E 01",Blk,$11.85,09-003-3-01-1-1510
558002,BCITG,TC,1,"TEE CI",Blk,$3.61,01-001-1-01-1-0010
558223,BCITGGH,TRC,1   x 1   x 1.2,"TEE RED CI",Blk,$11.89,01-001-2-01-1-10AB
558003,BCITH,TC,1.2,"TEE CI",Blk,$10.04,01-001-1-01-1-0013
558320,BCITHGD,TRC,1.2 x 1   x .5,"TEE RED CI",Blk,$10.05,01-001-2-01-1-12A5
558322,BCITHGG,TRC,1.2 x 1   x 1,"TEE RED CI",Blk,$9.92,01-001-2-01-1-12AA
558323,BCITHGH,TRC,1.2 x 1   x 1.2,"TEE RED CI",Blk,$10.95,01-001-2-01-1-12AB
558325,BCITHGK,TRC,1.2 x 1   x 2,"TEE RED CI",Blk,$36.65,01-001-2-01-1-12AD
558330,BCITHHD,TRC,1.2 x 1.2 x .5,"TEE RED CI",Blk,$9.90,01-001-2-01-1-12B5
558331,BCITHHF,TRC,1.2 x 1.2 x .7,"TEE RED CI",Blk,$10.76,01-001-2-01-1-12B7
558332,BCITHHG,TRC,1.2 x 1.2 x 1,"TEE RED CI",Blk,$9.92,01-001-2-01-1-12BA
558334,BCITHHJ,TRC,1.2 x 1.2 x 1.5,"TEE RED CI",Blk,$18.39,01-001-2-01-1-12BC
558335,BCITHHK,TRC,1.2 x 1.2 x 2,"TEE RED CI",Blk,$30.78,01-001-2-01-1-12BD
558004,BCITJ,TC,1.5,"TEE CI",Blk,$13.04,01-001-1-01-1-0015
558423,BCITJGH,TRC,1.5 x 1   x 1.2,"TEE RED CI",Blk,$21.27,01-001-2-01-1-15AB
558424,BCITJGJ,TRC,1.5 x 1   x 1.5,"TEE RED CI",Blk,$15.33,01-001-2-01-1-15AC
558425,BCITJGK,TRC,1.5 x 1   x 2,"TEE RED CI",Blk,$28.73,01-001-2-01-1-15AD
558430,BCITJHD,TRC,1.5 x 1.2 x .5,"TEE RED CI",Blk,$13.97,01-001-2-01-1-15B5
558432,BCITJHG,TRC,1.5 x 1.2 x 1,"TEE RED CI",Blk,$12.93,01-001-2-01-1-15BA
558433,BCITJHH,TRC,1.5 x 1.2 x 1.2,"TEE RED CI",Blk,$18.39,01-001-2-01-1-15BB
558434,BCITJHJ,TRC,1.5 x 1.2 x 1.5,"TEE RED CI",Blk,$18.39,01-001-2-01-1-15BC
558435,BCITJHK,TRC,1.5 x 1.2 x 2,"TEE RED CI",Blk,$28.15,01-001-2-01-1-15BD
558440,BCITJJD,TRC,1.5 x 1.5 x .5,"TEE RED CI",Blk,$12.93,01-001-2-01-1-15C5
558442,BCITJJG,TRC,1.5 x 1.5 x 1,"TEE RED CI",Blk,$12.93,01-001-2-01-1-15CA
558443,BCITJJH,TRC,1.5 x 1.5 x 1.2,"TEE RED CI",Blk,$18.39,01-001-2-01-1-15CB
558445,BCITJJK,TRC,1.5 x 1.5 x 2,"TEE RED CI",Blk,$20.11,01-001-2-01-1-15CD
558005,BCITK,TC,2,"TEE CI",Blk,$18.16,01-001-1-01-1-0020
558505,BCITKDK,TRC,2   x .5  x 2,"TEE RED CI",Blk,$28.73,01-001-2-01-1-205D
558522,BCITKGG,TRC,2   x 1   x 1,"TEE RED CI",Blk,$32.28,01-001-2-01-1-20AA
558523,BCITKGH,TRC,2   x 1   x 1.2,"TEE RED CI",Blk,$33.06,01-001-2-01-1-20AB
558524,BCITKGJ,TRC,2   x 1   x 1.5,"TEE RED CI",Blk,$26.86,01-001-2-01-1-20AC
558525,BCITKGK,TRC,2   x 1   x 2,"TEE RED CI",Blk,$28.96,01-001-2-01-1-20AD
558531,BCITKHF,TRC,2   x 1.2 x .7,"TEE RED CI",Blk,$39.39,01-001-2-01-1-20B7
558532,BCITKHG,TRC,2   x 1.2 x 1,"TEE RED CI",Blk,$32.28,01-001-2-01-1-20BA
558533,BCITKHH,TRC,2   x 1.2 x 1.2,"TEE RED CI",Blk,$28.73,01-001-2-01-1-20BB
558534,BCITKHJ,TRC,2   x 1.2 x 1.5,"TEE RED CI",Blk,$33.06,01-001-2-01-1-20BC
558541,BCITKJF,TRC,2   x 1.5 x .7,"TEE RED CI",Blk,$20.98,01-001-2-01-1-20C7
558543,BCITKJH,TRC,2   x 1.5 x 1.2,"TEE RED CI",Blk,$28.70,01-001-2-01-1-20CB
558550,BCITKKD,TRC,2   x 2   x .5,"TEE RED CI",Blk,$18.33,01-001-2-01-1-20D5
558551,BCITKKF,TRC,2   x 2   x .7,"TEE RED CI",Blk,$18.33,01-001-2-01-1-20D7
558552,BCITKKG,TRC,2   x 2   x 1,"TEE RED CI",Blk,$18.33,01-001-2-01-1-20DA
558554,BCITKKJ,TRC,2   x 2   x 1.5,"TEE RED CI",Blk,$21.75,01-001-2-01-1-20DC
559204,BCJ,CMD,1.5,"Coupling MI",Blk,$8.56,01-004-0-01-1-0015
421219,BFFK,FFMD,2,"FLOOR FLANGE MI DOM",Blk,$18.29,03-001-4-02-1-0020
,BGAAWSS350,,,"3-1/2 AIR/WTR GA W/ SS CASE",Blk,$11.36,
421118,BLNJ,NUTLK,1.5,"LOCK NUT",Blk,$6.96,10-002-4-01-1-0015
426010,BNGCL,NCL,1,"NIPPLE, CLOSE",Blk,$3.50,02-001-1-02-1-0010
426035,BNGN,NIP,1   x 3.5,"NIPPLE",Blk,$5.08,02-001-1-01-1-1035
426040,BNGP,NIP,1   x 4,"NIPPLE",Blk,$5.08,02-001-1-01-1-1040
426050,BNGS,NIP,1   x 5,"NIPPLE",Blk,$5.94,02-001-1-01-1-1050
426060,BNGU,NIP,1   x 6,"NIPPLE",Blk,$7.06,02-001-1-01-1-1060
428045,BNJR,NIP,1.5 x 4.5,"NIPPLE",Blk,$9.11,02-001-1-01-1-1545
429030,BNKM,NIP,2   x 3,"NIPPLE",Blk,$8.61,02-001-1-01-1-2030
,BRCLH,,,"2-1/2X1-1/4 BLK MI 150# RED COUP",Blk,$41.07,
420702,BSSPB,PMI,.2,"PLUG MI",Blk,$0.25,01-005-1-01-1-0002
559100,BSSPD,PC,.5,"PLUG CI",Blk,$0.70,01-001-9-01-1-0005
,BY235003,,,"3/8 GALV THRD SIDE BEAM BRKT",Glv,$2.48,
,C1732520,,,"G-TEK MAXIFLEX GLV MED 1 PR",,$8.32,
,C1732530,,,"G-TEK MAXIFLEX GLV LG 1 PR",,$8.32,
,C420,,,"9-1/2 STRT JAW T&G PLIER",,$16.51,
,C430,,,"10 STRT JAW T&G PLIER",,$17.17,
,C9D,,,"1/2 WROT CXC 90 ELL 5/8 OD",,$2.51,
